Task,Algorithm,Base_AUC,GP_AUC,Improvement
ShortTerm,SymbolicRegression+LR,0.607896505376344,0.613424059139785,0.005527553763441051
LongTerm,SymbolicRegression+LR,0.6263079271856007,0.6022593793828893,-0.024048547802711373
