Task,Model,AUC_Mean,AUC_Std,Brier,Sensitivity,Specificity
ShortTerm,TabPFN,0.6523706317204301,0.06487345103154571,0.23194531261060353,0.405,0.7935483870967741
LongTerm,TabPFN,0.6552321105072464,0.046648506983575116,0.23038072614420416,0.81625,0.3526811594202898
