Feature,Hard_Mean,Easy_Mean,Diff_Pct,P_Value,Hard_MissingRate,Easy_MissingRate
SBP,125.48214285714286,130.54090909090908,-3.8752343845644104,0.025750268181264118,0.0,0.004524886877828055
baseline Scr,133.8557142857143,154.58633484162897,-13.410383552368325,0.03275388312306701,0.0,0.0
MAP,99.59523809523807,104.01666666666665,-4.250692384798899,0.038893140002278524,0.0,0.004524886877828055
Hb,130.32,125.42857142857143,3.8997721784756134,0.10063893361876716,0.10714285714285714,0.08144796380090498
C,1.2452830188679245,1.0943396226415094,13.79309084424457,0.14846816671806976,0.05357142857142857,0.04072398190045249
S,0.78,0.6904761904761905,12.965498463760849,0.1869916140184577,0.10714285714285714,0.049773755656108594
M,0.46,0.5380952380952381,-14.513247364761526,0.3267949032630796,0.10714285714285714,0.049773755656108594
baseline GFR,61.99308660698942,57.75333528561315,7.341136623534654,0.34429211443357277,0.0,0.0
IgA,3.380227272727272,3.2060355029585796,5.433243495760123,0.36760885359617723,0.21428571428571427,0.23529411764705882
Alb,34.69622641509431,35.61146788990825,-2.570075044203821,0.3712465523006372,0.05357142857142857,0.013574660633484163
前驱感染,0.3225806451612903,0.23655913978494625,36.3634826452779,0.3755645572971692,0.44642857142857145,0.579185520361991
gender,1.3928571428571428,1.4524886877828054,-4.105471138778883,0.4220107882767453,0.0,0.0
肉眼血尿,0.16129032258064516,0.22580645161290322,-28.571302041376672,0.42365521776161086,0.44642857142857145,0.579185520361991
DBP,80.23214285714286,81.25,-1.2527472373288202,0.506741678860255,0.0,0.004524886877828055
C3,0.9734186046511615,0.9541118012422355,2.0235346788963446,0.6046904720026987,0.23214285714285715,0.27149321266968324
baseline UTP,3.208214285714285,3.037529411764705,5.619198849450123,0.6864408911968465,0.0,0.0
尿酸,417.86538461538464,412.337962962963,1.340507577642823,0.7179728979599787,0.07142857142857142,0.02262443438914027
E,0.52,0.5476190476190477,-5.043469051056522,0.7284284058630286,0.10714285714285714,0.049773755656108594
血尿（RBC）,284.08837209302294,315.5072289156626,-9.958205024663986,0.8225278957537651,0.23214285714285715,0.248868778280543
T,0.68,0.7047619047619048,-3.5135085281297913,0.8364735938686604,0.10714285714285714,0.049773755656108594
RASB,0.3392857142857143,0.3257918552036199,4.1418523661793465,0.8502123763564537,0.0,0.0
age,38.75,39.06334841628959,-0.8021545028059598,0.8783182032771416,0.0,0.0
