Feature,Hard_Mean,Easy_Mean,Diff_Pct,P_Value,Hard_MissingRate,Easy_MissingRate
baseline UTP,2.528464285714285,3.209773755656108,-21.226083504496778,0.06195554044860905,0.0,0.0
baseline Scr,136.25910714285712,153.97733031674207,-11.50703354991738,0.0722308167388257,0.0,0.0
IgA,3.4580434782608696,3.18251497005988,8.6575687535609,0.12651074444498273,0.17857142857142858,0.24434389140271492
SBP,127.25,130.0909090909091,-2.183787544359427,0.16509293960543994,0.0,0.004524886877828055
Alb,36.257142857142846,35.21767441860464,2.951553236216954,0.1753987190708291,0.0,0.027149321266968326
血尿（RBC）,193.84318181818182,339.7630303030302,-42.94753550003042,0.23909080432082963,0.21428571428571427,0.25339366515837103
前驱感染,0.36,0.23232323232323232,54.956285188163754,0.24053007422641554,0.5535714285714286,0.5520361990950227
S,0.7692307692307693,0.6923076923076923,11.111095061751586,0.2552786716621926,0.07142857142857142,0.058823529411764705
尿酸,400.76785714285717,416.75,-3.8349472870529957,0.2815906135575775,0.0,0.04072398190045249
M,0.46153846153846156,0.5384615384615384,-14.285687755151303,0.32667159952256497,0.07142857142857142,0.058823529411764705
E,0.4807692307692308,0.5576923076923077,-13.793078715858853,0.32719174286959263,0.07142857142857142,0.058823529411764705
T,0.7884615384615384,0.6778846153846154,16.312032674448243,0.36588526842053914,0.07142857142857142,0.058823529411764705
肉眼血尿,0.28,0.1919191919191919,45.894497707617234,0.38426707318415887,0.5535714285714286,0.5520361990950227
MAP,102.20833333333333,103.35151515151513,-1.1061103511107444,0.5597885333372042,0.0,0.004524886877828055
C3,0.9433333333333326,0.9623836477987414,-1.9794906858689552,0.5978596237911638,0.19642857142857142,0.28054298642533937
Hb,127.40384615384616,126.13432835820896,1.0064807908336317,0.6202141316510197,0.07142857142857142,0.09049773755656108
age,38.267857142857146,39.18552036199095,-2.3418425664330176,0.623477406521435,0.0,0.0
baseline GFR,60.15057569705082,58.22021587817678,3.315617705295105,0.6388665446061949,0.0,0.0
DBP,80.85714285714286,81.0909090909091,-0.28827674212086474,0.8598561756405204,0.0,0.004524886877828055
RASB,0.32142857142857145,0.33031674208144796,-2.69079420223359,0.8999805641168583,0.0,0.0
C,1.1153846153846154,1.1267605633802817,-1.0096144885825278,0.9103851383092791,0.07142857142857142,0.03619909502262444
gender,1.4464285714285714,1.4389140271493213,0.5222368338273198,0.9203406787005449,0.0,0.0
