Experiment,AUC_Mean,AUC_Std,Brier,Sensitivity,Specificity
ShortTerm_XGB_Single,0.661705309139785,0.05377848926242159,0.2696604466570608,0.5783333333333334,0.6738853503184714
ShortTerm_Voting,0.6708904569892473,0.0533154018504233,0.2261305286150515,0.42333333333333334,0.8547770700636943
LongTerm_XGB_Single,0.6298427273258532,0.06332917001826997,0.2898392270251145,0.5860759493670886,0.6201680672268908
LongTerm_Voting,0.6599112464936886,0.04801381989843528,0.22807856647463745,0.5835443037974684,0.6756302521008404
