Experiment,AUC_Mean,AUC_Std,Brier,Sensitivity,Specificity
ShortTerm_MICE_XGB,0.6189180107526882,0.05763235603685111,0.29155612772641426,0.5916666666666667,0.6687898089171975
ShortTerm_MICE_SVM,0.6430275537634409,0.05047613454439965,0.2319612671154748,0.7083333333333334,0.5732484076433121
ShortTerm_MICE_LR,0.6108198924731183,0.06642668816306908,0.25247024619077874,0.4,0.8280254777070064
LongTerm_MICE_XGB,0.5927192905563347,0.04536618041694477,0.3102991384576223,0.5886075949367089,0.6134453781512605
LongTerm_MICE_SVM,0.669923883824217,0.03216237027803358,0.22578774440116517,0.7278481012658228,0.5966386554621849
LongTerm_MICE_LR,0.6329421604721832,0.03516608622874119,0.24424350020282198,0.7025316455696202,0.5378151260504201
