Experiment,Model,AUC,AUC_Std,Brier
ShortTerm_Ensemble,Voting,0.690171370967742,0.05585676978718108,0.2267801528869105
ShortTerm_Ensemble,Stacking,0.683450940860215,0.04673600137477351,0.22693639984223743
ShortTerm_Ensemble,Single_XGB,0.6872479838709677,0.05120961127334649,0.22243817282221517
LongTerm_Ensemble,Voting,0.6841043565918652,0.056193175385883254,0.22555189708455164
LongTerm_Ensemble,Stacking,0.6742925286348761,0.0665652140885525,0.23042786961008516
LongTerm_Ensemble,Single_XGB,0.6739349579242637,0.06985597340881189,0.2260761390296148
