Experiment,AUC_Mean,AUC_Std,Brier,Sensitivity,Specificity
ShortTerm_Balanced_Weight,0.6647513440860215,0.05618535926144792,0.27326695231828496,0.8083333333333333,0.4840764331210191
ShortTerm_No_Weight,0.6614079301075269,0.04632539221227553,0.2668147876295033,0.7166666666666667,0.5668789808917197
ShortTerm_Undersampling,0.6663810483870968,0.017049540456081386,0.26391527185861985,0.7,0.6050955414012739
LongTerm_Balanced_Weight,0.6187923679289387,0.06971626223200578,0.2999516294779957,0.4810126582278481,0.7647058823529411
LongTerm_No_Weight,0.6015157491818608,0.061315315937185554,0.31578174519528474,0.5949367088607594,0.6218487394957983
LongTerm_Undersampling,0.6027002249883122,0.07574483366490167,0.31126618544865564,0.6139240506329114,0.5966386554621849
