Experiment,Best_Model,Base_AUC,Base_AUC_STD,Base_Brier,Sigmoid_AUC,Sigmoid_AUC_STD,Sigmoid_Brier,Isotonic_AUC,Isotonic_AUC_STD,Isotonic_Brier
ShortTerm_Core,XGB,0.698849126344086,0.04523882872561197,0.220054008861876,0.6905073924731183,0.05212045589976373,0.22316198381554558,0.6830141129032258,0.05788192570686042,0.22709191329360712
ShortTerm_Core+MEST,XGB,0.6975974462365592,0.05252641026285966,0.2224617315384975,0.676646505376344,0.05065204182860633,0.22746014055704517,0.6637558803763441,0.05413428534399758,0.23326056541781962
LongTerm_Core,SVM,0.6808582792776999,0.05550111936123012,0.22702350260714863,0.6847438931743806,0.05381026307637172,0.22530051797135758,0.6816157886278635,0.05794829073906168,0.22807822717287954
LongTerm_Core+MEST,XGB,0.684962672393642,0.06468286627210518,0.2230984213545837,0.6639357614539505,0.06462627068774705,0.22812790710119674,0.6765188537283777,0.08198587687713023,0.22865658194593458
